file,format,n_rows,description,source
public_data/figure_data/mass_accretion/m200c_main_branch_accretion.csv,csv,661,Archived descendant-selected M200c accretion diagnostic; not used by the current manuscript figures.,/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/scripts/compute_m200c_main_branch_accretion.py
public_data/figure_data/mass_accretion/m200c_main_branch_accretion_summary.csv,csv,24,Archived M200c accretion summary; not used by the current manuscript figures.,/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/scripts/compute_m200c_main_branch_accretion.py
public_data/figure_data/mass_accretion/fof_gamma_bybin.csv,csv,3966,Archived adjacent-snapshot FOF Gamma diagnostic; not used by the current manuscript figures.,/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/scripts/plot_fof_gamma_appendix.py
public_data/figure_data/mass_accretion/fof_gamma_summary.csv,csv,280,Archived FOF Gamma summary; not used by the current manuscript figures.,/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/scripts/plot_fof_gamma_appendix.py
public_data/figure_data/appendix_fof_gap_stitching/PL_fof_gap_stitching_bybin.csv,csv,120,Appendix FOF gap-stitching binned data.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/paperplot/halfmass_redshift/data/fof_gap_stitching
public_data/figure_data/appendix_fof_gap_stitching/PL_fof_gap_stitching_summary.csv,csv,18,Appendix FOF gap-stitching summary data.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/paperplot/halfmass_redshift/data/fof_gap_stitching
public_data/figure_data/appendix_fof_gap_stitching/fof_gap_stitching_notes.md,md,,Appendix FOF gap-stitching notes.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/paperplot/halfmass_redshift/data/fof_gap_stitching
public_data/figure_data/fof_hmf_resolution/fof_hmf_resolution_points.csv,csv,360,Appendix FOF mass-function resolution and volume check points.,/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/scripts/plot_fof_hmf_resolution.py
public_data/figure_data/fof_hmf_resolution/fof_hmf_resolution_summary.csv,csv,6,Appendix FOF mass-function resolution and volume check summary.,/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/scripts/plot_fof_hmf_resolution.py
public_data/figure_data/concentration/concentration_qc_binned_points.csv,csv,211,Binned c200c simulation medians and 16/84 percentile intervals used in concentration-qc.png.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/concentration/concentration_qc_kp10.py
public_data/figure_data/halo_density/halo_density_profiles.csv,csv,1488,Mean-c and median-c NFW profile curves used in halo-density.png.,/project/tkcastrosim/HNHuang/test/by_topic/bluetilted_project/bt_plot_halo_density_profile_png.py
public_data/figure_data/halo_density/halo_density_massbin_summary.csv,csv,12,Mass-bin summaries for halo-density.png.,/project/tkcastrosim/HNHuang/test/by_topic/bluetilted_project/bt_plot_halo_density_profile_png.py
public_data/figure_data/halo_density_radial/radial_density_profiles_n100_power03.csv,csv,240,Direct particle radial density profiles used in halo-density-radial-n100-power.png.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/paperplot/cache/halo_density_radial_n100_power
public_data/figure_data/halo_density_radial/radial_density_ratios_n100_power03.csv,csv,160,BT/PL radial density profile ratios used in halo-density-radial-n100-power.png.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/paperplot/cache/halo_density_radial_n100_power
public_data/figure_data/halo_density_radial/README.md,md,,Notes for the direct particle radial density profile data.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/paperplot/cache/halo_density_radial_n100_power
public_data/figure_data/nonlinear_power_spectrum/power_spectrum_measurements.csv,csv,29696,Cached nonlinear matter power-spectrum measurements used in power-spectrum.png.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data
public_data/figure_data/nonlinear_power_spectrum/power_spectrum_ratios.csv,csv,7882,BT/PL nonlinear matter power-spectrum ratios used in power-spectrum.png.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data
public_data/scripts/plot_input_power_spectrum.py,py,,Analysis/plotting script copied for provenance; paths may require adaptation outside the project workspace.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/paperplot/scripts/plot_input_power_spectrum.py
public_data/scripts/halomass_fof_reed07.py,py,,Analysis/plotting script copied for provenance; paths may require adaptation outside the project workspace.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/halomass.py
public_data/scripts/plot_bocquet16_m200c_hmf.py,py,,Analysis/plotting script copied for provenance; paths may require adaptation outside the project workspace.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/plot_bocquet16_m200c_hmf.py
public_data/scripts/plot_same_trackid_no_envelope_allmodels.py,py,,Analysis/plotting script copied for provenance; paths may require adaptation outside the project workspace.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/paperplot/halfmass_redshift/scripts/plot_same_trackid_no_envelope_allmodels.py
public_data/scripts/test_fof_gap_stitching_halfmass.py,py,,Analysis/plotting script copied for provenance; paths may require adaptation outside the project workspace.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/paperplot/halfmass_redshift/scripts/test_fof_gap_stitching_halfmass.py
public_data/scripts/plot_mass_assembly_history_correa.py,py,,Plotting script for the median FOF mass-assembly histories and Correa EPS comparison.,/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/scripts/plot_mass_assembly_history_correa.py
public_data/scripts/compute_m200c_main_branch_accretion.py,py,,SOAP descendant-selected most-massive-progenitor M200c accretion-rate reduction script; raw catalog paths require adaptation outside the project workspace.,/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/scripts/compute_m200c_main_branch_accretion.py
public_data/scripts/plot_m200c_main_branch_accretion.py,py,,Plotting script for the reduced median main-branch M200c accretion-rate data.,/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/scripts/plot_m200c_main_branch_accretion.py
public_data/scripts/plot_fof_gamma_appendix.py,py,,Reduction and plotting script for the appendix z=0-selected FOF Gamma diagnostic.,/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/scripts/plot_fof_gamma_appendix.py
public_data/scripts/bt_plot_halo_density_profile_png.py,py,,Analysis/plotting script copied for provenance; paths may require adaptation outside the project workspace.,/project/tkcastrosim/HNHuang/test/by_topic/bluetilted_project/bt_plot_halo_density_profile_png.py
public_data/scripts/bt_plot_halo_density_radial_trial_png.py,py,,Direct particle radial density plotting script copied for provenance; paths may require adaptation outside the project workspace.,/project/tkcastrosim/HNHuang/project_21cmFast/paper/scripts/bluetilted/bt_plot_halo_density_radial_trial_png.py
public_data/scripts/bt_submit_halo_density_radial_n100_power.sh,sh,,Slurm wrapper recording the N100 Power03 kappa settings for halo-density-radial-n100-power.png.,/project/tkcastrosim/HNHuang/project_21cmFast/paper/scripts/shell/bt_submit_halo_density_radial_n100_power.sh
public_data/scripts/concentration_qc_kp10.py,py,,Analysis/plotting script copied for provenance; paths may require adaptation outside the project workspace.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/concentration/concentration_qc_kp10.py
public_data/scripts/plot_power_spectrum_bt_over_pl.py,py,,Analysis/plotting script copied for provenance; paths may require adaptation outside the project workspace.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/scripts/plot_power_spectrum_bt_over_pl.py
public_data/scripts/compute_sim_power_spectrum.py,py,,Analysis/plotting script copied for provenance; paths may require adaptation outside the project workspace.,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/scripts/compute_sim_power_spectrum.py
public_data/scripts/plot_fof_hmf_resolution.py,py,,Appendix FOF mass-function resolution plotting script copied for provenance; paths may require adaptation outside the project workspace.,/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/scripts/plot_fof_hmf_resolution.py
public_data/scripts/extract_article_halo_catalog.py,py,,Extracts the compact per-halo FOF SOAP assembly-history and radial-selection files.,/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/scripts/extract_article_halo_catalog.py
public_data/scripts/submit_extract_article_halo_catalog.sbatch,sbatch,,Slurm wrapper for compact halo-catalog extraction.,/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/scripts/submit_extract_article_halo_catalog.sbatch
public_data/scripts/validate_article_halo_catalog.py,py,,Checks release checksums and reproduces the published FOF M200c assembly-history and radial-selection data.,/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/scripts/validate_article_halo_catalog.py
public_data/scripts/cosmology_plot_style.py,py,,Analysis/plotting script copied for provenance; paths may require adaptation outside the project workspace.,/project/tkcastrosim/HNHuang/cosmology_plot_style.py
public_data/scripts/plot_projection_public.py,py,,Portable script that adds manuscript labels to the released clean projection mosaic.,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/scripts/plot_projection_public.py
public_data/scripts/reproduce_all_figures.py,py,,One-command portable regeneration and validation of all 12 manuscript figures.,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/scripts/reproduce_all_figures.py
public_data/scripts/build_reproducibility_release.py,py,,Assembles the reduced tables compact catalog projection input radial caches and project Colossus source into one archive.,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/papers/article_nonlinear_evolution_pps/public_data/scripts/build_reproducibility_release.py
